epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,4122.59,0.87825,0.65338,1.06379,0.88787,0.75749,0.83667,0.58378,1.27484,0.95419,1.2373,0.000339673,0.000339673,0.000339673
79,4175.2,0.88504,0.66005,1.06457,0.87608,0.78069,0.83039,0.58191,1.28396,0.92626,1.2411,0.000325526,0.000325526,0.000325526
80,4227.78,0.87777,0.67084,1.06792,0.89456,0.77884,0.82921,0.57271,1.30805,0.91986,1.24969,0.000311379,0.000311379,0.000311379
81,4280.82,0.85251,0.64472,1.04996,0.88232,0.76088,0.83008,0.58859,1.25001,0.91204,1.21499,0.000297232,0.000297232,0.000297232
82,4333.89,0.87583,0.64697,1.05595,0.84976,0.80035,0.83206,0.60155,1.24242,0.92235,1.19536,0.000283085,0.000283085,0.000283085
83,4387.1,0.86015,0.63241,1.05968,0.89715,0.76814,0.8466,0.61471,1.24504,0.9131,1.2115,0.000268938,0.000268938,0.000268938
84,4440.29,0.86677,0.64299,1.05907,0.90105,0.78264,0.84095,0.592,1.25812,0.90036,1.22533,0.000254791,0.000254791,0.000254791
85,4493.38,0.8631,0.64584,1.04592,0.89342,0.78392,0.84016,0.59076,1.26671,0.89016,1.23754,0.000240644,0.000240644,0.000240644
86,4546.45,0.83712,0.62803,1.05405,0.86812,0.81078,0.85524,0.59252,1.22882,0.87119,1.21766,0.000226497,0.000226497,0.000226497
87,4599.41,0.8506,0.64292,1.0507,0.84776,0.82044,0.84688,0.59604,1.25262,0.89302,1.23855,0.000212349,0.000212349,0.000212349
88,4652.2,0.81128,0.61104,1.0403,0.86458,0.79551,0.84672,0.59382,1.26826,0.89074,1.23437,0.000198202,0.000198202,0.000198202
89,4706.57,0.82183,0.63233,1.04913,0.87497,0.80585,0.84903,0.59632,1.25422,0.88944,1.22285,0.000184055,0.000184055,0.000184055
90,4759.9,0.84304,0.6087,1.04789,0.8619,0.81906,0.84556,0.58549,1.23672,0.87796,1.21998,0.000169908,0.000169908,0.000169908
91,4825.87,0.77823,0.59661,1.00509,0.87422,0.76918,0.82702,0.57582,1.27886,0.94397,1.2355,0.000155761,0.000155761,0.000155761
92,4878.08,0.78758,0.55928,1.00927,0.91616,0.76193,0.83704,0.57425,1.25179,0.92048,1.23217,0.000141614,0.000141614,0.000141614
93,4930.38,0.74147,0.53397,0.97842,0.9172,0.76373,0.85014,0.5871,1.24774,0.91657,1.23771,0.000127467,0.000127467,0.000127467
94,4982.74,0.72558,0.5011,0.99175,0.8861,0.78709,0.84724,0.58558,1.25954,0.92849,1.24348,0.00011332,0.00011332,0.00011332
95,5034.98,0.73881,0.52521,0.98709,0.88753,0.78886,0.84781,0.58455,1.26564,0.92182,1.24084,9.91726e-05,9.91726e-05,9.91726e-05
96,5087.2,0.7114,0.49786,0.97255,0.87752,0.78482,0.84531,0.59562,1.25278,0.91252,1.23722,8.50255e-05,8.50255e-05,8.50255e-05
97,5139.41,0.71369,0.48425,0.98473,0.89796,0.77643,0.84232,0.59371,1.25739,0.89375,1.23936,7.08784e-05,7.08784e-05,7.08784e-05
98,5191.76,0.73295,0.50137,0.97968,0.90127,0.78629,0.84868,0.59102,1.25757,0.89563,1.23274,5.67313e-05,5.67313e-05,5.67313e-05
99,5243.96,0.7092,0.47894,0.95451,0.88811,0.80329,0.85089,0.59304,1.25603,0.88222,1.23636,4.25842e-05,4.25842e-05,4.25842e-05
100,5296.25,0.69656,0.48245,0.96212,0.89049,0.80252,0.8529,0.59555,1.25201,0.87825,1.22903,2.84371e-05,2.84371e-05,2.84371e-05
